[2025-01-29 12:52:52,399: INFO: main: Stage Data Transformation Stage Completed]
[2025-01-29 12:53:21,279: INFO: config: PyTorch version 2.5.1 available.]
[2025-01-29 12:53:21,575: INFO: main: stage Data Ingestion Stage initiated]
[2025-01-29 12:53:21,578: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-29 12:53:21,579: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-29 12:53:21,579: INFO: common: created directory at: artifacts]
[2025-01-29 12:53:21,580: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-29 12:53:24,955: INFO: data_ingestion: File is downloaded]
[2025-01-29 12:53:25,101: INFO: main: Stage Data Ingestion Stage Completed]
[2025-01-29 12:53:25,101: INFO: main: stage Data Transformation Stage initiated]
[2025-01-29 12:53:25,105: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-29 12:53:25,105: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-29 12:53:25,105: INFO: common: created directory at: artifacts]
[2025-01-29 12:53:25,105: INFO: common: created directory at: artifacts/data_transformation]
[2025-01-29 12:53:30,871: INFO: main: Stage Data Transformation Stage Completed]
